gene_id,transcript_id,Gene_id,protein_id
YAL009W,NM_001178154.1,851224,NP_009393.1
YAL008W,NM_001178153.1,851225,NP_009394.1
YAL007C,NM_001178152.1,851226,NP_009395.1
YAL005C,NM_001178151.1,851259,NP_009396.2
YAL003W,NM_001178150.1,851260,NP_009398.1
YAL003W,NM_001178150.1,851260,NP_009398.1
YAL002W,NM_001178149.1,851261,NP_009399.2
YAL001C,NM_001178148.1,851262,NP_009400.1
YAL001C,NM_001178148.1,851262,NP_009400.1
YAR002W,NM_001178209.1,851263,NP_009401.1
YAR002C-A,NM_001180033.1,851264,NP_009402.1
YAR003W,NM_001178210.1,851265,NP_009403.1
YAR007C,NM_001178211.1,851266,NP_009404.1
YAR008W,NM_001178212.1,851267,NP_009405.1
YAR009C,NM_001178213.1,851268,NP_009406.1
YAR010C,NM_001178214.1,851269,NP_009407.1
YAR014C,NM_001178215.2,851271,NP_009408.3
YAR015W,NM_001178216.1,851272,NP_009409.1
YAR018C,NM_001178217.1,851273,NP_009410.1
YAR019C,NM_001178218.2,851274,NP_009411.2
YAR020C,NM_001178219.1,851275,NP_009412.1
YAR023C,NM_001178220.2,851276,NP_009413.2
YAR027W,NM_001178221.1,851279,NP_009414.1
YAR028W,NM_001178222.1,851280,NP_009415.1
YAR029W,NM_001178223.1,851281,NP_009416.1
YAR031W,NM_001178224.1,851282,NP_009418.1
YAR033W,NM_001178225.1,851284,NP_009419.1
YAR035W,NM_001178226.1,851285,NP_009420.1
YAR035C-A,NM_001184583.1,1466430,NP_878042.1
YAR042W,NM_001178227.1,851286,NP_009421.3
YAR050W,NM_001178230.1,851289,NP_009424.1
YAR064W,NM_001178235.1,851294,NP_009429.1
YAR066W,NM_001180045.1,851295,NP_009430.1
YAR068W,NM_001178236.1,851296,NP_009431.1
YAR071W,NM_001178239.1,851299,NP_009434.1
YBL113C,NM_001180054.1,852159,NP_009437.1
YBL112C,NM_001180053.1,852160,NP_009438.1
YBL111C,NM_001180052.1,852161,NP_009439.1
YBL111C,NM_001180052.1,852161,NP_009439.1
YBL108C-A,NM_001184458.1,852163,NP_076873.1
YBL107C,NM_001178347.1,852167,NP_009443.1
YBL106C,NM_001178346.2,852168,NP_009444.2
YBL105C,NM_001178345.2,852169,NP_009445.2
YBL104C,NM_001178344.1,852170,NP_009446.2
YBL103C,NM_001178343.1,852171,NP_009447.1
YBL102W,NM_001178342.1,852172,NP_009448.1
YBL101C,NM_001178341.1,852173,NP_009449.1
YBL100W-C,NM_001184585.1,1466439,NP_878043.1
YBL100W-B,NM_001180050.2,852175,NP_009450.1
YBL100W-B,NM_001180050.2,852175,NP_009450.1
YBL100W-A,NM_001180049.1,852174,NP_009451.1
YBL099W,NM_001178339.2,852177,NP_009453.2
YBL098W,NM_001178338.1,852179,NP_009454.1
YBL097W,NM_001178337.2,852180,NP_009455.3
YBL095W,NM_001178335.1,852181,NP_009457.1
YBL093C,NM_001178333.1,852184,NP_009459.1
YBL092W,NM_001178332.1,852185,NP_009460.1
YBL091C-A,NM_001184321.1,852186,NP_009461.2
YBL091C-A,NM_001184321.1,852186,NP_009461.2
YBL091C,NM_001178331.2,852187,NP_009462.2
YBL090W,NM_001178330.1,852188,NP_009463.1
YBL089W,NM_001178329.1,852189,NP_009464.2
YBL088C,NM_001178328.2,852190,NP_009465.2
YBL087C,NM_001178327.1,852191,NP_009466.1
YBL087C,NM_001178327.1,852191,NP_009466.1
YBL086C,NM_001178326.1,852192,NP_009467.1
YBL085W,NM_001178325.1,852193,NP_009468.1
YBL084C,NM_001178324.2,852194,NP_009469.2
YBL082C,NM_001178322.1,852196,NP_009471.1
YBL081W,NM_001178321.1,852197,NP_009472.1
YBL080C,NM_001178320.2,852198,NP_009473.2
YBL079W,NM_001178319.1,852199,NP_009474.1
YBL078C,NM_001178318.1,852200,NP_009475.1
YBL076C,NM_001178316.1,852202,NP_009477.1
YBL075C,NM_001178315.1,852203,NP_009478.1
YBL074C,NM_001178314.1,852205,NP_009479.1
YBL072C,NM_001178312.1,852206,NP_009481.1
YBL071C-B,NM_001184584.1,1466440,NP_878044.1
YBL071W-A,NM_001184454.1,852207,NP_660100.1
YBL071C,NM_001346794.1,852208,NP_001333723.1
YBL069W,NM_001178309.1,852209,NP_009484.2
YBL068W,NM_001178308.2,852211,NP_009485.3
YBL067C,NM_001178307.2,852212,NP_009486.3
YBL066C,NM_001178306.1,852214,NP_009487.2
YBL064C,NM_001178304.1,852215,NP_009489.1
YBL063W,NM_001178303.1,852216,NP_009490.1
YBL061C,NM_001178301.1,852218,NP_009492.1
YBL060W,NM_001178300.1,852219,NP_009493.1
YBL059C-A,NM_001184440.1,852220,NP_031358.1
YBL059C-A,NM_001184440.1,852220,NP_031358.1
YBL059W,NM_001178299.1,852221,NP_009494.1
YBL059W,NM_001178299.1,852221,NP_009494.1
YBL058W,NM_001178298.1,852222,NP_009495.1
YBL057C,NM_001178297.2,852223,NP_009496.2
YBL056W,NM_001178296.2,852224,NP_009497.2
YBL055C,NM_001178295.1,852225,NP_009498.1
YBL054W,NM_001178294.1,852226,NP_009499.1
YBL052C,NM_001178292.1,852228,NP_009501.1
YBL051C,NM_001178291.1,852229,NP_009502.1
YBL050W,NM_001178290.1,852230,NP_009503.1
YBL050W,NM_001178290.1,852230,NP_009503.1
YBL049W,NM_001178289.1,852231,NP_009504.1
YBL048W,NM_001348869.1,852232,NP_001335744.1
YBL047C,NM_001178287.1,852233,NP_009506.1
YBL046W,NM_001178286.1,852234,NP_009507.1
YBL045C,NM_001178285.1,852235,NP_009508.1
YBL044W,NM_001178284.1,852236,NP_009509.1
YBL043W,NM_001178283.1,852237,NP_009510.1
YBL042C,NM_001178282.1,852238,NP_009511.1
YBL041W,NM_001178281.1,852239,NP_009512.1
YBL040C,NM_001178280.1,852240,NP_009513.1
YBL040C,NM_001178280.1,852240,NP_009513.1
YBL039W-B,NM_001184527.1,1466441,NP_878045.1
YBL039C,NM_001178279.1,852241,NP_009514.1
YBL038W,NM_001178278.1,852242,NP_009515.1
YBL037W,NM_001178277.1,852243,NP_009516.1
YBL036C,NM_001178276.1,852244,NP_009517.1
YBL035C,NM_001178275.1,852245,NP_009518.1
YBL034C,NM_001178274.1,852246,NP_009519.1
YBL033C,NM_001178273.1,852247,NP_009520.1
YBL032W,NM_001178272.1,852248,NP_009521.1
YBL031W,NM_001178271.1,852249,NP_009522.1
YBL030C,NM_001178270.1,852250,NP_009523.1
YBL029C-A,NM_001184457.1,852251,NP_076874.1
YBL029W,NM_001178269.1,852252,NP_009524.1
YBL028C,NM_001178268.1,852253,NP_009525.1
YBL027W,NM_001178267.1,852254,NP_009526.1
YBL027W,NM_001178267.1,852254,NP_009526.1
YBL026W,NM_001178266.1,852255,NP_009527.1
YBL026W,NM_001178266.1,852255,NP_009527.1
YBL025W,NM_001178265.1,852256,NP_009528.1
YBL024W,NM_001178264.1,852257,NP_009529.1
YBL023C,NM_001178263.1,852258,NP_009530.1
YBL022C,NM_001178262.1,852259,NP_009531.1
YBL021C,NM_001178261.1,852260,NP_009532.1
YBL020W,NM_001178260.1,852261,NP_009533.1
YBL019W,NM_001178259.1,852262,NP_009534.1
YBL018C,NM_001178258.1,852263,NP_009535.1
YBL018C,NM_001178258.1,852263,NP_009535.1
YBL017C,NM_001178257.1,852264,NP_009536.1
YBL016W,NM_001178256.1,852265,NP_009537.1
YBL015W,NM_001178255.1,852266,NP_009538.1
YBL014C,NM_001178254.2,852269,NP_009539.2
YBL013W,NM_001178253.1,852270,NP_009540.2
YBL011W,NM_001178251.1,852271,NP_009542.1
YBL010C,NM_001178250.1,852273,NP_009543.1
YBL009W,NM_001178249.1,852274,NP_009544.1
YBL008W-A,NM_001184539.1,1466442,NP_878046.1
YBL008W,NM_001178248.2,852275,NP_009545.2
YBL007C,NM_001178247.1,852276,NP_009546.1
YBL006C,NM_001178246.1,852277,NP_009547.2
YBL005W,NM_001178245.1,852278,NP_009548.1
YBL005W-B,NM_001180048.2,852280,NP_009549.1
YBL005W-B,NM_001180048.2,852280,NP_009549.1
YBL005W-A,NM_001180047.1,852279,NP_009550.1
YBL004W,NM_001178244.1,852282,NP_009551.2
YBL003C,NM_001178243.1,852283,NP_009552.1
YBL002W,NM_001178242.1,852284,NP_009553.1
YBL001C,NM_001178241.1,852285,NP_009554.1
YBR001C,NM_001178349.1,852286,NP_009555.1
YBR002C,NM_001178350.1,852287,NP_009556.1
YBR003W,NM_001178351.1,852288,NP_009557.1
YBR004C,NM_001178352.2,852289,NP_009558.2
YBR005W,NM_001178353.1,852290,NP_009559.1
YBR006W,NM_001178354.1,852291,NP_009560.1
YBR007C,NM_001178355.2,852292,NP_009561.2
YBR008C,NM_001178356.1,852293,NP_009562.1
YBR009C,NM_001178357.1,852294,NP_009563.1
YBR010W,NM_001178358.1,852295,NP_009564.1
YBR011C,NM_001178359.1,852296,NP_009565.1
YBR012W-B,NM_001180056.2,852299,NP_009567.1
YBR012W-B,NM_001180056.2,852299,NP_009567.1
YBR012W-A,NM_001180055.1,852298,NP_009568.1
YBR013C,NM_001178361.1,852300,NP_009569.1
YBR014C,NM_001178362.1,852302,NP_009570.1
YBR015C,NM_001178363.1,852303,NP_009571.1
YBR016W,NM_001178364.1,852304,NP_009572.1
YBR017C,NM_001178365.1,852305,NP_009573.1
YBR018C,NM_001178366.1,852306,NP_009574.1
YBR019C,NM_001178367.1,852307,NP_009575.1
YBR020W,NM_001178368.1,852308,NP_009576.1
YBR021W,NM_001178369.1,852309,NP_009577.1
YBR022W,NM_001178370.1,852310,NP_009578.1
YBR023C,NM_001178371.1,852311,NP_009579.1
YBR024W,NM_001178372.1,852312,NP_009580.1
YBR025C,NM_001178373.1,852313,NP_009581.1
YBR026C,NM_001178374.1,852314,NP_009582.1
YBR027C,NM_001346795.1,852315,NP_001333724.1
YBR028C,NM_001178376.1,852316,NP_009584.1
YBR029C,NM_001178377.1,852317,NP_009585.1
YBR030W,NM_001178378.1,852318,NP_009586.1
YBR031W,NM_001178379.1,852319,NP_009587.1
YBR032W,NM_001346796.1,852320,NP_001333725.1
YBR033W,NM_001178381.1,852321,NP_009589.1
YBR034C,NM_001178382.1,852322,NP_009590.1
YBR035C,NM_001178383.1,852323,NP_009591.1
YBR036C,NM_001178384.1,852324,NP_009592.1
YBR037C,NM_001178385.1,852325,NP_009593.1
YBR038W,NM_001178386.1,852326,NP_009594.1
YBR039W,NM_001178387.1,852327,NP_009595.1
YBR040W,NM_001178388.1,852328,NP_009596.1
YBR041W,NM_001178389.1,852329,NP_009597.2
YBR042C,NM_001178390.1,852330,NP_009598.1
YBR043C,NM_001178391.2,852331,NP_009599.2
YBR044C,NM_001178392.2,852332,NP_009600.2
YBR045C,NM_001178393.2,852334,NP_009601.2
YBR046C,NM_001178394.1,852335,NP_009602.1
YBR047W,NM_001178395.1,852336,NP_009603.1
YBR048W,NM_001178396.1,852337,NP_009604.1
YBR048W,NM_001178396.1,852337,NP_009604.1
YBR049C,NM_001178397.1,852338,NP_009605.1
YBR050C,NM_001178398.1,852340,NP_009606.1
YBR052C,NM_001178400.1,852341,NP_009608.1
YBR053C,NM_001178401.1,852342,NP_009609.1
YBR054W,NM_001178402.1,852343,NP_009610.1
YBR055C,NM_001178403.1,852344,NP_009611.1
YBR056W,NM_001178404.1,852346,NP_009612.1
YBR056W-A,NM_001270739.1,1466443,NP_001257668.1
YBR057C,NM_001178405.1,852348,NP_009613.1
YBR058C,NM_001178406.1,852349,NP_009614.2
YBR058C-A,NM_001184442.3,852350,NP_116327.3
YBR059C,NM_001178407.1,852351,NP_009615.1
YBR060C,NM_001178408.1,852352,NP_009616.1
YBR061C,NM_001178409.3,852353,NP_009617.3
YBR062C,NM_001178410.1,852354,NP_009618.2
YBR062C,NM_001178410.1,852354,NP_009618.2
YBR063C,NM_001178411.1,852356,NP_009619.1
YBR065C,NM_001178413.3,852357,NP_009621.3
YBR066C,NM_001178414.1,852358,NP_009622.1
YBR067C,NM_001178415.1,852359,NP_009623.1
YBR068C,NM_001178416.4,852360,NP_009624.4
YBR069C,NM_001178417.1,852361,NP_009625.1
YBR070C,NM_001178418.1,852362,NP_009626.1
YBR071W,NM_001178419.3,852363,NP_009627.3
YBR072W,NM_001178420.1,852364,NP_009628.1
YBR072C-A,NM_001184540.1,1466444,NP_878048.1
YBR073W,NM_001178421.4,852365,NP_009629.6
YBR074W,NM_001178422.2,852366,NP_009630.3
YBR076W,NM_001178424.2,852368,NP_009632.2
YBR077C,NM_001178425.3,852369,NP_009633.3
YBR078W,NM_001178426.2,852370,NP_009634.2
YBR078W,NM_001178426.2,852370,NP_009634.2
YBR079C,NM_001178427.1,852371,NP_009635.1
YBR080C,NM_001178428.3,852372,NP_009636.3
YBR081C,NM_001178429.1,852373,NP_009637.1
YBR082C,NM_001178430.1,852376,NP_009638.1
YBR082C,NM_001178430.1,852376,NP_009638.1
YBR083W,NM_001178431.3,852377,NP_009639.3
YBR084W,NM_001178432.1,852378,NP_009640.1
YBR084C-A,NM_001180057.1,852379,NP_009641.1
YBR084C-A,NM_001180057.1,852379,NP_009641.1
YBR085W,NM_001178433.3,852380,NP_009642.3
YBR085C-A,NM_001184443.1,852381,NP_061491.1
YBR086C,NM_001178434.1,852382,NP_009643.2
YBR087W,NM_001178435.3,852383,NP_009644.3
YBR088C,NM_001178436.1,852385,NP_009645.1
YBR089C-A,NM_001180058.2,852386,NP_009647.2
YBR090C,NM_001178438.4,852387,NP_009648.4
YBR090C,NM_001178438.4,852387,NP_009648.4
YBR091C,NM_001178439.1,852388,NP_009649.1
YBR092C,NM_001178440.1,852389,NP_009650.1
YBR093C,NM_001178441.3,852390,NP_009651.3
YBR094W,NM_001178442.2,852391,NP_009652.2
YBR095C,NM_001178443.1,852392,NP_009653.2
YBR096W,NM_001178444.3,852393,NP_009654.3
YBR097W,NM_001178445.2,852394,NP_009655.2
YBR098W,NM_001178446.1,852395,NP_009656.2
YBR101C,NM_001178449.3,852397,NP_009659.3
YBR102C,NM_001178450.1,852398,NP_009660.1
YBR103W,NM_001178451.1,852399,NP_009661.1
YBR104W,NM_001178452.3,852401,NP_009662.3
YBR105C,NM_001178453.1,852402,NP_009663.1
YBR106W,NM_001178454.1,852403,NP_009664.1
YBR107C,NM_001178455.3,852404,NP_009665.3
YBR108W,NM_001178456.2,852405,NP_009666.3
YBR109C,NM_001178457.1,852406,NP_009667.1
YBR110W,NM_001178458.3,852407,NP_009668.3
YBR111C,NM_001178459.1,852408,NP_009669.1
YBR111W-A,NM_001184520.1,1466445,NP_878049.2
YBR111W-A,NM_001184520.1,1466445,NP_878049.2
YBR111W-A,NM_001184520.1,1466445,NP_878049.2
YBR112C,NM_001178460.3,852410,NP_009670.3
YBR114W,NM_001178462.1,852411,NP_009672.1
YBR115C,NM_001178463.1,852412,NP_009673.1
YBR117C,NM_001178465.3,852414,NP_009675.3
YBR118W,NM_001178466.1,852415,NP_009676.1
YBR119W,NM_001178467.1,852416,NP_009677.1
YBR119W,NM_001178467.1,852416,NP_009677.1
YBR120C,NM_001178468.3,852417,NP_009678.3
YBR121C,NM_001178469.2,852418,NP_009679.2
YBR122C,NM_001178470.1,852419,NP_009680.2
YBR123C,NM_001178471.3,852421,NP_009681.3
YBR125C,NM_001178473.1,852422,NP_009683.1
YBR126C,NM_001178474.1,852423,NP_009684.1
YBR126W-A,NM_001270740.1,13393614,NP_001257669.1
YBR127C,NM_001178475.3,852424,NP_009685.3
YBR128C,NM_001178476.1,852425,NP_009686.1
YBR129C,NM_001178477.1,852426,NP_009687.1
YBR130C,NM_001178478.3,852427,NP_009688.3
YBR131W,NM_001178479.3,852428,NP_009689.3
YBR132C,NM_001178480.1,852429,NP_009690.1
YBR133C,NM_001178481.1,852431,NP_009691.1
YBR135W,NM_001178483.3,852432,NP_009693.3
YBR136W,NM_001178484.3,852433,NP_009694.3
YBR137W,NM_001178485.2,852434,NP_009695.2
YBR138C,NM_001178486.2,852435,NP_009696.2
YBR139W,NM_001178487.3,852436,NP_009697.3
YBR140C,NM_001178488.3,852437,NP_009698.3
YBR141C,NM_001178489.2,852438,NP_009699.2
YBR142W,NM_001178490.1,852439,NP_009700.1
YBR143C,NM_001178491.3,852440,NP_009701.3
YBR144C,NM_001348890.1,852441,NP_001335745.1
YBR145W,NM_001178493.3,852442,NP_009703.3
YBR146W,NM_001178494.1,852443,NP_009704.1
YBR147W,NM_001178495.1,852444,NP_009705.1
YBR148W,NM_001178496.3,852445,NP_009706.3
YBR149W,NM_001178497.3,852446,NP_009707.3
YBR150C,NM_001178498.1,852447,NP_009708.1
YBR151W,NM_001178499.1,852448,NP_009709.1
YBR152W,NM_001178500.3,852449,NP_009710.3
YBR153W,NM_001178501.3,852450,NP_009711.3
YBR154C,NM_001178502.1,852451,NP_009712.1
YBR155W,NM_001178503.1,852452,NP_009713.1
YBR156C,NM_001178504.3,852453,NP_009714.3
YBR157C,NM_001178505.3,852454,NP_009715.4
YBR158W,NM_001178506.1,852455,NP_009716.1
YBR159W,NM_001178507.1,852456,NP_009717.1
YBR160W,NM_001178508.3,852457,NP_009718.3
YBR161W,NM_001178509.3,852458,NP_009719.3
YBR162C,NM_001178510.1,852459,NP_009720.1
YBR162W-A,NM_001180059.1,852460,NP_009721.1
YBR163W,NM_001178511.3,852461,NP_009722.3
YBR164C,NM_001178512.3,852462,NP_009723.3
YBR165W,NM_001178513.1,852463,NP_009724.1
YBR166C,NM_001178514.1,852464,NP_009725.1
YBR167C,NM_001178515.3,852465,NP_009726.3
YBR168W,NM_001178516.3,852466,NP_009727.3
YBR169C,NM_001178517.1,852467,NP_009728.1
YBR170C,NM_001178518.1,852468,NP_009729.1
YBR171W,NM_001178519.3,852469,NP_009730.3
YBR172C,NM_001178520.3,852470,NP_009731.4
YBR173C,NM_001178521.1,852471,NP_009732.1
YBR175W,NM_001178523.1,852472,NP_009734.1
YBR176W,NM_001178524.3,852474,NP_009735.3
YBR177C,NM_001178525.3,852476,NP_009736.3
YBR179C,NM_001178527.1,852477,NP_009738.1
YBR180W,NM_001178528.1,852478,NP_009739.1
YBR181C,NM_001178529.3,852479,NP_009740.3
YBR181C,NM_001178529.3,852479,NP_009740.3
YBR182C,NM_001178530.3,852480,NP_009741.3
YBR182C-A,NM_001184586.1,1466446,NP_878050.1
YBR183W,NM_001178531.1,852481,NP_009742.1
YBR184W,NM_001178532.3,852482,NP_009743.3
YBR185C,NM_001178533.3,852483,NP_009744.3
YBR186W,NM_001178534.1,852484,NP_009745.2
YBR186W,NM_001178534.1,852484,NP_009745.2
YBR187W,NM_001178535.1,852485,NP_009746.1
YBR188C,NM_001178536.3,852486,NP_009747.3
YBR189W,NM_001178537.3,852487,NP_009748.3
YBR189W,NM_001178537.3,852487,NP_009748.3
YBR191W,NM_001178539.1,852489,NP_009750.1
YBR191W,NM_001178539.1,852489,NP_009750.1
YBR192W,NM_001178540.1,852491,NP_009751.1
YBR193C,NM_001178541.3,852492,NP_009752.3
YBR194W,NM_001178542.3,852493,NP_009753.3
YBR195C,NM_001178543.1,852494,NP_009754.1
YBR196C,NM_001178544.1,852495,NP_009755.1
YBR196C-A,NM_001184541.3,1466447,NP_878051.3
YBR196C-B,NM_001184643.3,1466448,NP_878052.3
YBR197C,NM_001178545.1,852496,NP_009756.1
YBR198C,NM_001178546.1,852497,NP_009757.1
YBR199W,NM_001178547.3,852498,NP_009758.3
YBR200W,NM_001178548.3,852499,NP_009759.3
YBR200W-A,NM_001184542.1,1466449,NP_878053.1
YBR201W,NM_001178549.1,852500,NP_009760.1
YBR201C-A,NM_001184676.3,3799967,NP_001032571.3
YBR202W,NM_001178550.4,852501,NP_009761.4
YBR203W,NM_001178551.2,852502,NP_009762.2
YBR204C,NM_001178552.2,852503,NP_009763.2
YBR205W,NM_001178553.3,852504,NP_009764.3
YBR207W,NM_001178555.4,852506,NP_009766.4
YBR208C,NM_001178556.1,852507,NP_009767.1
YBR209W,NM_001348891.1,852508,NP_001335746.1
YBR210W,NM_001178558.1,852511,NP_009769.1
YBR211C,NM_001178559.3,852512,NP_009770.3
YBR212W,NM_001178560.3,852513,NP_009771.3
YBR213W,NM_001178561.1,852514,NP_009772.1
YBR214W,NM_001178562.1,852515,NP_009773.1
YBR215W,NM_001178563.3,852516,NP_009774.4
YBR215W,NM_001178563.3,852516,NP_009774.4
YBR216C,NM_001178564.3,852517,NP_009775.3
YBR217W,NM_001178565.1,852518,NP_009776.1
YBR218C,NM_001178566.1,852519,NP_009777.1
YBR219C,NM_001178567.3,852520,NP_009778.3
YBR219C,NM_001178567.3,852520,NP_009778.3
YBR220C,NM_001178568.3,852521,NP_009779.3
YBR221C,NM_001178569.1,852522,NP_009780.1
YBR221W-A,NM_001184644.1,1466450,NP_878054.1
YBR222C,NM_001178570.3,852523,NP_009781.3
YBR223C,NM_001178571.3,852525,NP_009782.3
YBR225W,NM_001178573.1,852526,NP_009784.1
YBR227C,NM_001178575.1,852528,NP_009786.1
YBR228W,NM_001178576.3,852529,NP_009787.3
YBR229C,NM_001178577.3,852530,NP_009788.3
YBR230C,NM_001178578.1,852531,NP_009789.1
YBR230C,NM_001178578.1,852531,NP_009789.1
YBR230W-A,NM_001184673.1,2777172,NP_001018029.1
YBR231C,NM_001178579.3,852532,NP_009790.3
YBR233W,NM_001178581.3,852533,NP_009792.3
YBR233W-A,NM_001184461.1,852535,NP_631876.1
YBR234C,NM_001178582.1,852536,NP_009793.1
YBR235W,NM_001178583.3,852537,NP_009794.3
YBR236C,NM_001178584.3,852538,NP_009795.3
YBR237W,NM_001178585.1,852539,NP_009796.1
YBR238C,NM_001178586.1,852540,NP_009797.1
YBR239C,NM_001178587.3,852541,NP_009798.3
YBR240C,NM_001178588.3,852542,NP_009799.3
YBR241C,NM_001178589.1,852543,NP_009800.1
YBR242W,NM_001178590.1,852544,NP_009801.1
YBR243C,NM_001178591.3,852545,NP_009802.3
YBR244W,NM_001178592.3,852546,NP_009803.3
YBR245C,NM_001178593.1,852547,NP_009804.1
YBR246W,NM_001178594.1,852548,NP_009805.1
YBR247C,NM_001178595.3,852549,NP_009806.3
YBR248C,NM_001178596.3,852550,NP_009807.3
YBR249C,NM_001178597.1,852551,NP_009808.1
YBR250W,NM_001178598.1,852552,NP_009809.1
YBR251W,NM_001178599.3,852553,NP_009810.3
YBR252W,NM_001178600.3,852554,NP_009811.3
YBR253W,NM_001178601.1,852555,NP_009812.1
YBR254C,NM_001178602.1,852556,NP_009813.1
YBR255W,NM_001178603.3,852557,NP_009814.3
YBR255C-A,NM_001184510.3,852558,NP_116328.4
YBR255C-A,NM_001184510.3,852558,NP_116328.4
YBR256C,NM_001178604.1,852559,NP_009815.1
YBR257W,NM_001178605.1,852560,NP_009816.1
YBR258C,NM_001178606.3,852561,NP_009817.3
YBR259W,NM_001178607.3,852562,NP_009818.3
YBR260C,NM_001178608.1,852563,NP_009819.1
YBR261C,NM_001178609.1,852564,NP_009820.1
YBR262C,NM_001178610.3,852566,NP_009821.3
YBR263W,NM_001178611.3,852565,NP_009822.4
YBR264C,NM_001178612.1,852567,NP_009823.2
YBR265W,NM_001178613.2,852568,NP_009824.2
YBR267W,NM_001178615.4,852569,NP_009825.4
YBR266C,NM_001395042.1,852570,NP_001381962.1
YBR268W,NM_001178616.3,852571,NP_009827.3
YBR269C,NM_001178617.1,852572,NP_009828.2
YBR270C,NM_001178618.2,852573,NP_009829.2
YBR271W,NM_001178619.3,852574,NP_009830.3
YBR272C,NM_001178620.3,852575,NP_009831.3
YBR273C,NM_001178621.1,852576,NP_009832.1
YBR274W,NM_001178622.1,852577,NP_009833.1
YBR275C,NM_001178623.4,852578,NP_009834.4
YBR276C,NM_001178624.3,852579,NP_009835.3
YBR278W,NM_001178626.1,852580,NP_009837.1
YBR279W,NM_001178627.1,852582,NP_009838.1
YBR280C,NM_001178628.3,852583,NP_009839.4
YBR281C,NM_001178629.3,852584,NP_009840.3
YBR282W,NM_001178630.1,852585,NP_009841.1
YBR283C,NM_001178631.1,852586,NP_009842.1
YBR284W,NM_001178632.3,852587,NP_009843.3
YBR285W,NM_001178633.4,852588,NP_009844.4
YBR286W,NM_001178634.1,852589,NP_009845.2
YBR287W,NM_001178635.1,852590,NP_009846.1
YBR288C,NM_001178636.4,852591,NP_009847.4
YBR289W,NM_001178637.4,852592,NP_009848.4
YBR290W,NM_001178638.1,852593,NP_009849.1
YBR291C,NM_001178639.1,852594,NP_009850.1
